,,性别比重,,,年龄比重,,,
,地区总人口,男,女,性别比,0-14岁,15-59岁,60岁以上,15岁以上人口受教育年限
北    京,21893095,51.14,48.86,104.65,11.84,68.53,19.63,12.64
天    津,13866009,51.53,48.47,106.31,13.47,64.87,21.66,11.29
河    北,74610235,50.5,49.5,102.02,20.22,59.92,19.85,9.84
山    西,34915616,50.99,49.01,104.06,16.35,64.72,18.92,10.45
内 蒙 古,24049155,51.04,48.96,104.26,14.04,66.17,19.78,10.08
辽    宁,42591407,49.92,50.08,99.7,11.12,63.16,25.72,10.34
吉    林,24073453,49.92,50.08,99.69,11.71,65.23,23.06,10.17
黑 龙 江,31850088,50.09,49.91,100.35,10.32,66.46,23.22,9.93
上    海,24870895,51.77,48.23,107.33,9.8,66.82,23.38,11.81
江    苏,84748016,50.78,49.22,103.15,15.21,62.95,21.84,10.21
浙    江,64567588,52.16,47.84,109.04,13.45,67.86,18.7,9.79
安    徽,61027171,50.97,49.03,103.94,19.24,61.96,18.79,9.35
福    建,41540086,51.68,48.32,106.94,19.32,64.7,15.98,9.66
江    西,45188635,51.6,48.4,106.62,21.96,61.17,16.87,9.7
山    东,101527453,50.66,49.34,102.67,18.78,60.32,20.9,9.75
河    南,99365519,50.15,49.85,100.6,23.14,58.79,18.08,9.79
湖    北,57752557,51.42,48.58,105.83,16.31,63.26,20.42,10.02
湖    南,66444864,51.16,48.84,104.77,19.52,60.6,19.88,9.88
广    东,126012510,53.07,46.93,113.08,18.85,68.8,12.35,10.38
广    西,50126804,51.7,48.3,107.04,23.63,59.69,16.69,9.54
海    南,10081232,53.02,46.98,112.86,19.97,65.38,14.65,10.1
重    庆,32054159,50.55,49.45,102.21,15.91,62.22,21.87,9.8
四    川,83674866,50.54,49.46,102.19,16.1,62.19,21.71,9.24
贵    州,38562148,51.1,48.9,104.5,23.97,60.65,15.38,8.75
云    南,47209277,51.73,48.27,107.16,19.57,65.52,14.91,8.82
西    藏,3648100,52.45,47.55,110.32,24.53,66.95,8.52,6.75
陕    西,39528999,51.17,48.83,104.79,17.33,63.46,19.2,10.26
甘    肃,25019831,50.76,49.24,103.1,19.4,63.57,17.03,9.13
青    海,5923957,51.21,48.79,104.97,20.81,67.04,12.14,8.85
宁    夏,7202654,50.94,49.06,103.83,20.38,66.09,13.52,9.81
新    疆,25852345,51.66,48.34,106.85,22.46,66.26,11.28,10.11
现役军人,2000000,,,,,,,
